11-22 01:31:58: New best reward: 528.0 (+7.1%) at episode 2256, saving model...
11-22 01:32:00: New best reward: 585.0 (+10.8%) at episode 2260, saving model...
11-22 01:32:00: New best reward: 708.0 (+21.0%) at episode 2261, saving model...
11-22 01:49:06: New best reward: 11686.0 (+1550.6%) at episode 8202, saving model...
11-22 01:50:11: New best reward: 53128.0 (+354.6%) at episode 8209, saving model...
11-22 02:01:54: New best reward: 100000.0 (+88.2%) at episode 10377, saving model...
11-22 02:01:55: Average duration: 1735843.0 timesteps, Average layer passes: 12142512.0 (cartpole1-8)
Seed: 30144
11-22 02:01:55: Starting training... (cartpole1-9)
11-22 02:01:55: New best reward: 24.0 (-100.0%) at episode 0, saving model...
11-22 02:01:55: New best reward: 32.0 (+33.3%) at episode 1, saving model...
11-22 02:01:55: New best reward: 42.0 (+31.2%) at episode 5, saving model...
11-22 02:01:55: New best reward: 64.0 (+52.4%) at episode 10, saving model...
11-22 02:01:55: New best reward: 66.0 (+3.1%) at episode 28, saving model...
11-22 02:01:56: New best reward: 72.0 (+9.1%) at episode 44, saving model...
11-22 02:01:56: New best reward: 90.0 (+25.0%) at episode 125, saving model...
11-22 02:02:00: New best reward: 111.0 (+23.3%) at episode 361, saving model...
11-22 02:02:01: New best reward: 120.0 (+8.1%) at episode 443, saving model...
11-22 02:02:01: New best reward: 124.0 (+3.3%) at episode 446, saving model...
11-22 02:02:05: New best reward: 126.0 (+1.6%) at episode 617, saving model...
11-22 02:02:07: New best reward: 134.0 (+6.3%) at episode 686, saving model...
11-22 02:02:07: New best reward: 155.0 (+15.7%) at episode 691, saving model...
11-22 02:02:12: New best reward: 164.0 (+5.8%) at episode 820, saving model...
11-22 02:02:14: New best reward: 165.0 (+0.6%) at episode 883, saving model...
11-22 02:02:15: New best reward: 171.0 (+3.6%) at episode 919, saving model...
11-22 02:02:16: New best reward: 172.0 (+0.6%) at episode 927, saving model...
11-22 02:02:20: New best reward: 283.0 (+64.5%) at episode 1033, saving model...
11-22 02:02:24: New best reward: 297.0 (+4.9%) at episode 1100, saving model...
11-22 02:02:26: New best reward: 304.0 (+2.4%) at episode 1123, saving model...
11-22 02:02:38: New best reward: 317.0 (+4.3%) at episode 1298, saving model...
11-22 02:02:41: New best reward: 330.0 (+4.1%) at episode 1344, saving model...
11-22 02:02:43: New best reward: 351.0 (+6.4%) at episode 1359, saving model...
11-22 02:02:43: New best reward: 620.0 (+76.6%) at episode 1363, saving model...
11-22 02:03:44: New best reward: 734.0 (+18.4%) at episode 1931, saving model...
11-22 02:04:04: New best reward: 816.0 (+11.2%) at episode 2056, saving model...
11-22 02:15:59: New best reward: 960.0 (+17.6%) at episode 5287, saving model...
11-22 02:16:03: New best reward: 3010.0 (+213.5%) at episode 5289, saving model...
11-22 02:24:12: New best reward: 100000.0 (+3222.3%) at episode 6055, saving model...
