11-24 08:17:50: New best reward: 25.0 (+13.6%) at episode 5, saving model...
11-24 08:17:50: New best reward: 42.0 (+68.0%) at episode 11, saving model...
11-24 08:17:50: New best reward: 46.0 (+9.5%) at episode 26, saving model...
11-24 08:17:51: New best reward: 72.0 (+56.5%) at episode 39, saving model...
11-24 08:17:51: New best reward: 74.0 (+2.8%) at episode 163, saving model...
11-24 08:17:52: New best reward: 81.0 (+9.5%) at episode 182, saving model...
11-24 08:17:52: New best reward: 86.0 (+6.2%) at episode 254, saving model...
11-24 08:17:52: New best reward: 88.0 (+2.3%) at episode 285, saving model...
11-24 08:17:53: New best reward: 90.0 (+2.3%) at episode 323, saving model...
11-24 08:17:53: New best reward: 143.0 (+58.9%) at episode 328, saving model...
11-24 08:17:56: New best reward: 160.0 (+11.9%) at episode 582, saving model...
11-24 08:17:58: New best reward: 162.0 (+1.2%) at episode 688, saving model...
11-24 08:17:58: New best reward: 198.0 (+22.2%) at episode 730, saving model...
11-24 08:17:59: New best reward: 206.0 (+4.0%) at episode 774, saving model...
11-24 08:18:01: New best reward: 212.0 (+2.9%) at episode 865, saving model...
11-24 08:18:02: New best reward: 219.0 (+3.3%) at episode 883, saving model...
11-24 08:18:06: New best reward: 225.0 (+2.7%) at episode 1031, saving model...
11-24 08:18:07: New best reward: 265.0 (+17.8%) at episode 1063, saving model...
11-24 08:18:08: New best reward: 275.0 (+3.8%) at episode 1094, saving model...
11-24 08:18:15: New best reward: 378.0 (+37.5%) at episode 1274, saving model...
11-24 08:18:21: New best reward: 380.0 (+0.5%) at episode 1406, saving model...
11-24 08:18:22: New best reward: 406.0 (+6.8%) at episode 1419, saving model...
11-24 08:18:22: New best reward: 422.0 (+3.9%) at episode 1420, saving model...
11-24 08:18:50: New best reward: 453.0 (+7.3%) at episode 1892, saving model...
11-24 08:18:50: New best reward: 499.0 (+10.2%) at episode 1893, saving model...
11-24 08:18:51: New best reward: 500.0 (+0.2%) at episode 1894, saving model...
11-24 08:45:05: Seed: 12880
11-24 08:45:05: Starting training with 3 layer(s)... (cartpole1-linear16)
11-24 08:45:06: New best reward: 17.0 (-1800.0%) at episode 0, saving model...
11-24 08:45:06: New best reward: 20.0 (+17.6%) at episode 2, saving model...
11-24 08:45:06: New best reward: 50.0 (+150.0%) at episode 3, saving model...
11-24 08:45:06: New best reward: 96.0 (+92.0%) at episode 4, saving model...
11-24 08:45:07: New best reward: 102.0 (+6.2%) at episode 247, saving model...
11-24 08:45:09: New best reward: 142.0 (+39.2%) at episode 388, saving model...
11-24 08:45:12: New best reward: 158.0 (+11.3%) at episode 591, saving model...
11-24 08:45:13: New best reward: 256.0 (+62.0%) at episode 643, saving model...
11-24 08:45:21: New best reward: 269.0 (+5.1%) at episode 976, saving model...
11-24 08:45:23: New best reward: 281.0 (+4.5%) at episode 1049, saving model...
11-24 08:45:24: New best reward: 305.0 (+8.5%) at episode 1070, saving model...
11-24 08:45:24: New best reward: 387.0 (+26.9%) at episode 1071, saving model...
11-24 08:45:32: New best reward: 402.0 (+3.9%) at episode 1244, saving model...
11-24 08:45:35: New best reward: 442.0 (+10.0%) at episode 1311, saving model...
11-24 08:45:50: New best reward: 500.0 (+13.1%) at episode 1542, saving model...
11-24 09:39:27: Average duration: 2917660.8 timesteps, Average layer passes: 7717642.2 (cartpole1-linear16)
11-24 09:39:27: Seed: 23945
11-24 09:39:27: Starting training with 4 layer(s)... (cartpole1-linear16)
11-24 09:39:27: New best reward: 37.0 (-3800.0%) at episode 0, saving model...
11-24 09:39:27: New best reward: 56.0 (+51.4%) at episode 4, saving model...
11-24 09:39:27: New best reward: 74.0 (+32.1%) at episode 8, saving model...
